itemsets,support
"frozenset({'Butter', 'Salt'})",0.0206
"frozenset({'Bread', 'Yogurt'})",0.0206
"frozenset({'Salt', 'Bananas'})",0.0226
"frozenset({'Bread', 'Grapes'})",0.0176
"frozenset({'Sugar', 'Cereal'})",0.0214
"frozenset({'Flour', 'Cheese'})",0.0204
"frozenset({'Juice', 'Cereal'})",0.0202
"frozenset({'Coffee', 'Shampoo'})",0.0204
"frozenset({'Cereal', 'Beef'})",0.0214
"frozenset({'Fish', 'Pasta'})",0.0232
"frozenset({'Shampoo', 'Potatoes'})",0.022
"frozenset({'Flour', 'Cereal'})",0.0196
"frozenset({'Butter', 'Potatoes'})",0.0208
"frozenset({'Chicken', 'Toothpaste'})",0.0224
"frozenset({'Onions', 'Apples'})",0.0224
"frozenset({'Tomatoes', 'Soap'})",0.0224
"frozenset({'Butter', 'Toothpaste'})",0.0226
"frozenset({'Chicken', 'Potatoes'})",0.0198
"frozenset({'Pasta', 'Apples'})",0.0196
"frozenset({'Shampoo', 'Cheese'})",0.0224
"frozenset({'Rice', 'Chicken'})",0.021
"frozenset({'Flour', 'Carrots'})",0.0204
"frozenset({'Grapes', 'Bananas'})",0.0204
"frozenset({'Bread', 'Salt'})",0.0236
"frozenset({'Fish', 'Chicken'})",0.0204
"frozenset({'Cereal', 'Onions'})",0.021
"frozenset({'Fish', 'Bananas'})",0.0238
"frozenset({'Shampoo', 'Apples'})",0.0236
"frozenset({'Fish', 'Juice'})",0.0202
"frozenset({'Tomatoes', 'Cereal'})",0.0224
"frozenset({'Flour', 'Tea'})",0.0252
"frozenset({'Soap', 'Shampoo'})",0.0226
"frozenset({'Flour', 'Oranges'})",0.0242
"frozenset({'Eggs', 'Apples'})",0.022
"frozenset({'Rice', 'Apples'})",0.0204
"frozenset({'Chicken', 'Apples'})",0.0212
"frozenset({'Potatoes', 'Apples'})",0.0152
"frozenset({'Tomatoes', 'Pasta'})",0.0234
"frozenset({'Flour', 'Tomatoes'})",0.0218
"frozenset({'Eggs', 'Beef'})",0.0218
"frozenset({'Yogurt', 'Carrots'})",0.0186
"frozenset({'Chicken', 'Beef'})",0.021
"frozenset({'Oranges', 'Milk'})",0.0226
"frozenset({'Butter', 'Cheese'})",0.0208
"frozenset({'Eggs', 'Bread'})",0.0222
"frozenset({'Salt', 'Pasta'})",0.0202
"frozenset({'Yogurt', 'Shampoo'})",0.0194
"frozenset({'Flour', 'Salt'})",0.0212
"frozenset({'Butter', 'Cereal'})",0.0218
"frozenset({'Eggs', 'Cereal'})",0.0222
"frozenset({'Rice', 'Cereal'})",0.0222
"frozenset({'Flour', 'Toothpaste'})",0.023
"frozenset({'Juice', 'Potatoes'})",0.0204
"frozenset({'Fish', 'Bread'})",0.0248
"frozenset({'Yogurt', 'Potatoes'})",0.0186
"frozenset({'Fish', 'Cheese'})",0.0226
"frozenset({'Carrots', 'Milk'})",0.022
"frozenset({'Rice', 'Yogurt'})",0.0178
"frozenset({'Yogurt', 'Bananas'})",0.024
"frozenset({'Fish', 'Cereal'})",0.0236
"frozenset({'Oranges', 'Potatoes'})",0.019
"frozenset({'Eggs', 'Salt'})",0.0178
"frozenset({'Coffee', 'Cereal'})",0.0232
"frozenset({'Bread', 'Onions'})",0.0192
"frozenset({'Tea', 'Toothpaste'})",0.0236
"frozenset({'Eggs', 'Tea'})",0.0218
"frozenset({'Fish', 'Flour'})",0.0222
"frozenset({'Oranges', 'Shampoo'})",0.023
"frozenset({'Fish', 'Grapes'})",0.0224
"frozenset({'Milk', 'Beef'})",0.0232
"frozenset({'Yogurt', 'Soap'})",0.0206
"frozenset({'Flour', 'Soap'})",0.0234
"frozenset({'Juice', 'Milk'})",0.0194
"frozenset({'Tea', 'Shampoo'})",0.021
"frozenset({'Tomatoes', 'Toothpaste'})",0.0216
"frozenset({'Oil', 'Oranges'})",0.0216
"frozenset({'Flour', 'Apples'})",0.0202
"frozenset({'Yogurt', 'Apples'})",0.0204
"frozenset({'Oil', 'Milk'})",0.0222
"frozenset({'Carrots', 'Potatoes'})",0.021
"frozenset({'Eggs', 'Grapes'})",0.0212
"frozenset({'Oil', 'Chicken'})",0.023
"frozenset({'Coffee', 'Apples'})",0.0196
"frozenset({'Carrots', 'Chicken'})",0.02
"frozenset({'Yogurt', 'Beef'})",0.0204
"frozenset({'Eggs', 'Carrots'})",0.0242
"frozenset({'Flour', 'Juice'})",0.0196
"frozenset({'Soap', 'Milk'})",0.0214
"frozenset({'Eggs', 'Chicken'})",0.0212
"frozenset({'Fish', 'Tea'})",0.0234
"frozenset({'Juice', 'Pasta'})",0.0202
"frozenset({'Grapes', 'Shampoo'})",0.0216
"frozenset({'Tomatoes', 'Cheese'})",0.0254
"frozenset({'Carrots', 'Shampoo'})",0.022
"frozenset({'Chicken', 'Shampoo'})",0.0206
"frozenset({'Rice', 'Salt'})",0.0198
"frozenset({'Milk', 'Cheese'})",0.0182
"frozenset({'Tea', 'Onions'})",0.0212
"frozenset({'Yogurt', 'Cereal'})",0.0206
"frozenset({'Soap', 'Cheese'})",0.0226
"frozenset({'Coffee', 'Grapes'})",0.02
"frozenset({'Oranges', 'Pasta'})",0.0216
"frozenset({'Bananas', 'Toothpaste'})",0.025
"frozenset({'Coffee', 'Bananas'})",0.0226
"frozenset({'Sugar', 'Beef'})",0.0216
"frozenset({'Rice', 'Potatoes'})",0.022
"frozenset({'Potatoes', 'Bananas'})",0.0206
"frozenset({'Tomatoes', 'Milk'})",0.0216
"frozenset({'Grapes', 'Onions'})",0.0214
"frozenset({'Chicken', 'Bananas'})",0.0238
"frozenset({'Cereal', 'Tea'})",0.022
"frozenset({'Yogurt', 'Pasta'})",0.0192
"frozenset({'Oil', 'Butter'})",0.0206
"frozenset({'Sugar', 'Apples'})",0.0212
"frozenset({'Grapes', 'Tomatoes'})",0.024
"frozenset({'Carrots', 'Onions'})",0.0196
"frozenset({'Rice', 'Grapes'})",0.0216
"frozenset({'Fish', 'Toothpaste'})",0.025
"frozenset({'Bread', 'Bananas'})",0.024
"frozenset({'Butter', 'Shampoo'})",0.024
"frozenset({'Shampoo', 'Bananas'})",0.0232
"frozenset({'Bread', 'Juice'})",0.0204
"frozenset({'Grapes', 'Tea'})",0.0204
"frozenset({'Salt', 'Coffee'})",0.0236
"frozenset({'Sugar', 'Bread'})",0.0214
"frozenset({'Potatoes', 'Cheese'})",0.019
"frozenset({'Fish', 'Beef'})",0.021
"frozenset({'Carrots', 'Cereal'})",0.02
"frozenset({'Sugar', 'Cheese'})",0.0208
"frozenset({'Soap', 'Chicken'})",0.0236
"frozenset({'Rice', 'Soap'})",0.0212
"frozenset({'Bananas', 'Apples'})",0.021
"frozenset({'Butter', 'Juice'})",0.0172
"frozenset({'Oil', 'Yogurt'})",0.019
"frozenset({'Grapes', 'Beef'})",0.019
"frozenset({'Oranges', 'Soap'})",0.0216
"frozenset({'Grapes', 'Carrots'})",0.0224
"frozenset({'Bread', 'Shampoo'})",0.0222
"frozenset({'Eggs', 'Yogurt'})",0.0226
"frozenset({'Cereal', 'Milk'})",0.0198
"frozenset({'Salt', 'Onions'})",0.0184
"frozenset({'Cereal', 'Toothpaste'})",0.0214
"frozenset({'Fish', 'Potatoes'})",0.021
"frozenset({'Oranges', 'Cereal'})",0.021
"frozenset({'Salt', 'Apples'})",0.0234
"frozenset({'Cereal', 'Chicken'})",0.0204
"frozenset({'Oil', 'Sugar'})",0.0198
"frozenset({'Carrots', 'Soap'})",0.024
"frozenset({'Coffee', 'Yogurt'})",0.0196
"frozenset({'Milk', 'Potatoes'})",0.021
"frozenset({'Oil', 'Flour'})",0.0202
"frozenset({'Chicken', 'Pasta'})",0.0216
"frozenset({'Eggs', 'Pasta'})",0.0194
"frozenset({'Oil', 'Juice'})",0.0212
"frozenset({'Eggs', 'Flour'})",0.018
"frozenset({'Chicken', 'Onions'})",0.021
"frozenset({'Juice', 'Carrots'})",0.022
"frozenset({'Bread', 'Pasta'})",0.0222
"frozenset({'Juice', 'Shampoo'})",0.0202
"frozenset({'Tea', 'Milk'})",0.0228
"frozenset({'Shampoo', 'Pasta'})",0.0206
"frozenset({'Yogurt', 'Cheese'})",0.021
"frozenset({'Oil', 'Salt'})",0.0256
"frozenset({'Flour', 'Shampoo'})",0.024
"frozenset({'Tea', 'Soap'})",0.024
"frozenset({'Oil', 'Tea'})",0.022
"frozenset({'Carrots', 'Toothpaste'})",0.0194
"frozenset({'Grapes', 'Apples'})",0.0216
"frozenset({'Eggs', 'Milk'})",0.0224
"frozenset({'Sugar', 'Tomatoes'})",0.0198
"frozenset({'Cereal', 'Cheese'})",0.0212
"frozenset({'Oranges', 'Beef'})",0.0178
"frozenset({'Sugar', 'Onions'})",0.0208
"frozenset({'Grapes', 'Soap'})",0.0226
"frozenset({'Juice', 'Oranges'})",0.0222
"frozenset({'Bananas', 'Pasta'})",0.0204
"frozenset({'Sugar', 'Oranges'})",0.0216
"frozenset({'Onions', 'Bananas'})",0.0202
"frozenset({'Butter', 'Rice'})",0.019
"frozenset({'Onions', 'Pasta'})",0.022
"frozenset({'Oil', 'Grapes'})",0.021
"frozenset({'Eggs', 'Shampoo'})",0.023
"frozenset({'Tea', 'Apples'})",0.0182
"frozenset({'Tea', 'Potatoes'})",0.02
"frozenset({'Fish', 'Carrots'})",0.0224
"frozenset({'Bread', 'Soap'})",0.022
"frozenset({'Tea', 'Pasta'})",0.023
"frozenset({'Bread', 'Milk'})",0.0226
"frozenset({'Oil', 'Toothpaste'})",0.0216
"frozenset({'Grapes', 'Potatoes'})",0.0178
"frozenset({'Carrots', 'Apples'})",0.0212
"frozenset({'Coffee', 'Chicken'})",0.0208
"frozenset({'Rice', 'Coffee'})",0.019
"frozenset({'Butter', 'Grapes'})",0.0192
"frozenset({'Coffee', 'Milk'})",0.0246
"frozenset({'Yogurt', 'Tomatoes'})",0.0222
"frozenset({'Coffee', 'Oranges'})",0.0198
"frozenset({'Eggs', 'Bananas'})",0.0204
"frozenset({'Grapes', 'Pasta'})",0.0252
"frozenset({'Coffee', 'Toothpaste'})",0.0222
"frozenset({'Yogurt', 'Onions'})",0.0218
"frozenset({'Sugar', 'Fish'})",0.0204
"frozenset({'Salt', 'Grapes'})",0.0194
"frozenset({'Fish', 'Oranges'})",0.0208
"frozenset({'Beef', 'Cheese'})",0.02
"frozenset({'Chicken', 'Cheese'})",0.0174
"frozenset({'Rice', 'Shampoo'})",0.0224
"frozenset({'Oil', 'Fish'})",0.0242
"frozenset({'Bread', 'Toothpaste'})",0.0226
"frozenset({'Eggs', 'Fish'})",0.0256
"frozenset({'Bread', 'Potatoes'})",0.0214
"frozenset({'Juice', 'Apples'})",0.0216
"frozenset({'Butter', 'Apples'})",0.0176
"frozenset({'Soap', 'Bananas'})",0.019
"frozenset({'Soap', 'Beef'})",0.0198
"frozenset({'Coffee', 'Carrots'})",0.0208
"frozenset({'Fish', 'Shampoo'})",0.0212
"frozenset({'Sugar', 'Soap'})",0.0206
"frozenset({'Sugar', 'Toothpaste'})",0.0218
"frozenset({'Flour', 'Rice'})",0.021
"frozenset({'Butter', 'Flour'})",0.0234
"frozenset({'Rice', 'Juice'})",0.019
"frozenset({'Juice', 'Bananas'})",0.02
"frozenset({'Flour', 'Onions'})",0.0212
"frozenset({'Bread', 'Carrots'})",0.0226
"frozenset({'Juice', 'Cheese'})",0.0242
"frozenset({'Oil', 'Bread'})",0.0214
"frozenset({'Sugar', 'Shampoo'})",0.0198
"frozenset({'Cereal', 'Bananas'})",0.0218
"frozenset({'Oranges', 'Tomatoes'})",0.0222
"frozenset({'Milk', 'Onions'})",0.0234
"frozenset({'Juice', 'Toothpaste'})",0.0214
"frozenset({'Bread', 'Tea'})",0.0216
"frozenset({'Milk', 'Pasta'})",0.0208
"frozenset({'Sugar', 'Eggs'})",0.0238
"frozenset({'Milk', 'Apples'})",0.0238
"frozenset({'Carrots', 'Bananas'})",0.0212
"frozenset({'Salt', 'Shampoo'})",0.0252
"frozenset({'Eggs', 'Juice'})",0.0202
"frozenset({'Tomatoes', 'Chicken'})",0.0214
"frozenset({'Juice', 'Grapes'})",0.0216
"frozenset({'Rice', 'Beef'})",0.0204
"frozenset({'Eggs', 'Tomatoes'})",0.0208
"frozenset({'Sugar', 'Potatoes'})",0.0204
"frozenset({'Sugar', 'Coffee'})",0.0202
"frozenset({'Flour', 'Grapes'})",0.0218
"frozenset({'Shampoo', 'Onions'})",0.0232
"frozenset({'Fish', 'Soap'})",0.0236
"frozenset({'Cereal', 'Apples'})",0.0208
"frozenset({'Tomatoes', 'Shampoo'})",0.0234
"frozenset({'Coffee', 'Cheese'})",0.0256
"frozenset({'Juice', 'Tea'})",0.0184
"frozenset({'Milk', 'Shampoo'})",0.0234
"frozenset({'Tea', 'Bananas'})",0.0194
"frozenset({'Bread', 'Coffee'})",0.0214
"frozenset({'Salt', 'Toothpaste'})",0.023
"frozenset({'Oranges', 'Bananas'})",0.0228
"frozenset({'Sugar', 'Pasta'})",0.0186
"frozenset({'Chicken', 'Milk'})",0.0208
"frozenset({'Onions', 'Toothpaste'})",0.0222
"frozenset({'Potatoes', 'Pasta'})",0.0196
"frozenset({'Tomatoes', 'Bananas'})",0.021
"frozenset({'Butter', 'Onions'})",0.0196
"frozenset({'Juice', 'Onions'})",0.0236
"frozenset({'Oil', 'Carrots'})",0.0244
"frozenset({'Rice', 'Pasta'})",0.0188
"frozenset({'Milk', 'Toothpaste'})",0.0214
"frozenset({'Butter', 'Pasta'})",0.019
"frozenset({'Butter', 'Bananas'})",0.023
"frozenset({'Juice', 'Salt'})",0.0224
"frozenset({'Fish', 'Coffee'})",0.0234
"frozenset({'Oil', 'Shampoo'})",0.0208
"frozenset({'Fish', 'Onions'})",0.0192
"frozenset({'Eggs', 'Coffee'})",0.024
"frozenset({'Butter', 'Coffee'})",0.0206
"frozenset({'Oil', 'Potatoes'})",0.0206
"frozenset({'Grapes', 'Toothpaste'})",0.0244
"frozenset({'Eggs', 'Toothpaste'})",0.0228
"frozenset({'Carrots', 'Pasta'})",0.0178
"frozenset({'Oil', 'Rice'})",0.0228
"frozenset({'Oil', 'Bananas'})",0.0206
"frozenset({'Eggs', 'Butter'})",0.0216
"frozenset({'Flour', 'Beef'})",0.021
"frozenset({'Butter', 'Chicken'})",0.0184
"frozenset({'Soap', 'Potatoes'})",0.0248
"frozenset({'Potatoes', 'Toothpaste'})",0.0234
"frozenset({'Eggs', 'Rice'})",0.0208
"frozenset({'Bread', 'Tomatoes'})",0.023
"frozenset({'Bread', 'Rice'})",0.0208
"frozenset({'Bread', 'Butter'})",0.0222
"frozenset({'Cheese', 'Toothpaste'})",0.0236
"frozenset({'Oil', 'Soap'})",0.0204
"frozenset({'Coffee', 'Onions'})",0.023
"frozenset({'Salt', 'Cereal'})",0.0228
"frozenset({'Oranges', 'Yogurt'})",0.0166
"frozenset({'Oil', 'Apples'})",0.0222
"frozenset({'Coffee', 'Tomatoes'})",0.0238
"frozenset({'Yogurt', 'Milk'})",0.02
"frozenset({'Eggs', 'Soap'})",0.0222
"frozenset({'Yogurt', 'Chicken'})",0.0216
"frozenset({'Flour', 'Bananas'})",0.0246
"frozenset({'Oil', 'Beef'})",0.0214
"frozenset({'Tomatoes', 'Onions'})",0.0202
"frozenset({'Onions', 'Cheese'})",0.0188
"frozenset({'Coffee', 'Tea'})",0.0196
"frozenset({'Shampoo', 'Beef'})",0.0188
"frozenset({'Bananas', 'Cheese'})",0.025
"frozenset({'Bread', 'Beef'})",0.0206
"frozenset({'Rice', 'Cheese'})",0.0198
"frozenset({'Grapes', 'Cereal'})",0.02
"frozenset({'Fish', 'Tomatoes'})",0.0232
"frozenset({'Oranges', 'Cheese'})",0.0194
"frozenset({'Oil', 'Cereal'})",0.023
"frozenset({'Tomatoes', 'Tea'})",0.0182
"frozenset({'Bread', 'Apples'})",0.0238
"frozenset({'Tea', 'Cheese'})",0.0196
"frozenset({'Beef', 'Potatoes'})",0.021
"frozenset({'Sugar', 'Chicken'})",0.0216
"frozenset({'Sugar', 'Rice'})",0.0208
"frozenset({'Coffee', 'Beef'})",0.0204
"frozenset({'Soap', 'Pasta'})",0.0236
"frozenset({'Juice', 'Coffee'})",0.0226
"frozenset({'Tomatoes', 'Apples'})",0.02
"frozenset({'Sugar', 'Grapes'})",0.0208
"frozenset({'Flour', 'Coffee'})",0.023
"frozenset({'Soap', 'Onions'})",0.0238
"frozenset({'Fish', 'Salt'})",0.0252
"frozenset({'Eggs', 'Onions'})",0.0228
"frozenset({'Rice', 'Carrots'})",0.0228
"frozenset({'Oil', 'Pasta'})",0.0196
"frozenset({'Butter', 'Yogurt'})",0.0198
"frozenset({'Juice', 'Chicken'})",0.0184
"frozenset({'Butter', 'Carrots'})",0.0194
"frozenset({'Tomatoes', 'Beef'})",0.0214
"frozenset({'Beef', 'Bananas'})",0.02
"frozenset({'Grapes', 'Cheese'})",0.019
"frozenset({'Cereal', 'Potatoes'})",0.023
"frozenset({'Bread', 'Flour'})",0.0242
"frozenset({'Carrots', 'Cheese'})",0.0184
"frozenset({'Fish', 'Milk'})",0.0224
"frozenset({'Sugar', 'Tea'})",0.0184
"frozenset({'Tea', 'Beef'})",0.0204
"frozenset({'Salt', 'Potatoes'})",0.021
"frozenset({'Sugar', 'Salt'})",0.0184
"frozenset({'Rice', 'Tea'})",0.0218
"frozenset({'Oranges', 'Chicken'})",0.0214
"frozenset({'Rice', 'Oranges'})",0.0236
"frozenset({'Eggs', 'Oranges'})",0.0228
"frozenset({'Rice', 'Milk'})",0.0222
"frozenset({'Butter', 'Oranges'})",0.0188
"frozenset({'Milk', 'Bananas'})",0.0232
"frozenset({'Tomatoes', 'Potatoes'})",0.0188
"frozenset({'Salt', 'Cheese'})",0.0246
"frozenset({'Oranges', 'Toothpaste'})",0.0232
"frozenset({'Rice', 'Bananas'})",0.0222
"frozenset({'Rice', 'Tomatoes'})",0.0208
"frozenset({'Oil', 'Eggs'})",0.0188
"frozenset({'Carrots', 'Beef'})",0.0174
"frozenset({'Butter', 'Tomatoes'})",0.0224
"frozenset({'Rice', 'Onions'})",0.0214
"frozenset({'Cereal', 'Soap'})",0.0192
"frozenset({'Fish', 'Apples'})",0.024
"frozenset({'Salt', 'Tomatoes'})",0.024
"frozenset({'Salt', 'Milk'})",0.0204
"frozenset({'Carrots', 'Tea'})",0.0206
"frozenset({'Shampoo', 'Toothpaste'})",0.0204
"frozenset({'Salt', 'Soap'})",0.0244
"frozenset({'Sugar', 'Flour'})",0.0192
"frozenset({'Sugar', 'Yogurt'})",0.02
"frozenset({'Rice', 'Toothpaste'})",0.0238
"frozenset({'Oranges', 'Carrots'})",0.0222
"frozenset({'Eggs', 'Potatoes'})",0.022
"frozenset({'Sugar', 'Juice'})",0.0184
"frozenset({'Oranges', 'Onions'})",0.0196
"frozenset({'Oil', 'Coffee'})",0.0236
"frozenset({'Juice', 'Beef'})",0.0204
"frozenset({'Flour', 'Yogurt'})",0.0178
"frozenset({'Bread', 'Cheese'})",0.0244
"frozenset({'Juice', 'Yogurt'})",0.0188
"frozenset({'Toothpaste', 'Apples'})",0.021
"frozenset({'Oranges', 'Apples'})",0.0202
"frozenset({'Eggs', 'Cheese'})",0.0178
"frozenset({'Oranges', 'Tea'})",0.0214
"frozenset({'Oil', 'Cheese'})",0.0198
"frozenset({'Salt', 'Yogurt'})",0.0206
"frozenset({'Fish', 'Rice'})",0.022
"frozenset({'Fish', 'Butter'})",0.023
"frozenset({'Cereal', 'Pasta'})",0.021
"frozenset({'Yogurt', 'Tea'})",0.0192
"frozenset({'Beef', 'Apples'})",0.02
"frozenset({'Grapes', 'Milk'})",0.021
"frozenset({'Butter', 'Soap'})",0.0174
"frozenset({'Coffee', 'Pasta'})",0.0178
"frozenset({'Flour', 'Milk'})",0.0254
"frozenset({'Oranges', 'Grapes'})",0.022
"frozenset({'Juice', 'Soap'})",0.0212
"frozenset({'Soap', 'Toothpaste'})",0.023
"frozenset({'Flour', 'Pasta'})",0.0226
"frozenset({'Grapes', 'Yogurt'})",0.0166
"frozenset({'Bread', 'Chicken'})",0.0216
"frozenset({'Cheese', 'Pasta'})",0.0196
"frozenset({'Bread', 'Oranges'})",0.0246
"frozenset({'Cheese', 'Apples'})",0.0216
"frozenset({'Salt', 'Oranges'})",0.0224
"frozenset({'Yogurt', 'Toothpaste'})",0.0208
"frozenset({'Salt', 'Tea'})",0.021
"frozenset({'Cereal', 'Shampoo'})",0.0228
"frozenset({'Sugar', 'Bananas'})",0.021
"frozenset({'Sugar', 'Butter'})",0.0202
"frozenset({'Beef', 'Toothpaste'})",0.0208
"frozenset({'Flour', 'Potatoes'})",0.0196
"frozenset({'Butter', 'Beef'})",0.0216
"frozenset({'Tomatoes', 'Carrots'})",0.0216
"frozenset({'Flour', 'Chicken'})",0.0198
"frozenset({'Onions', 'Beef'})",0.0216
"frozenset({'Oil', 'Tomatoes'})",0.0188
"frozenset({'Soap', 'Apples'})",0.0222
"frozenset({'Beef', 'Pasta'})",0.0224
"frozenset({'Oil', 'Onions'})",0.0198
"frozenset({'Coffee', 'Soap'})",0.0202
"frozenset({'Salt', 'Beef'})",0.0186
"frozenset({'Salt', 'Carrots'})",0.0216
"frozenset({'Salt', 'Chicken'})",0.023
"frozenset({'Fish', 'Yogurt'})",0.02
"frozenset({'Butter', 'Tea'})",0.0216
"frozenset({'Tea', 'Chicken'})",0.0234
"frozenset({'Butter', 'Milk'})",0.0188
"frozenset({'Toothpaste', 'Pasta'})",0.0214
"frozenset({'Sugar', 'Carrots'})",0.021
"frozenset({'Onions', 'Potatoes'})",0.022
"frozenset({'Bread', 'Cereal'})",0.0202
"frozenset({'Coffee', 'Potatoes'})",0.022
"frozenset({'Sugar', 'Milk'})",0.0226
"frozenset({'Grapes', 'Chicken'})",0.0218
"frozenset({'Juice', 'Tomatoes'})",0.0214
